;kappa1;kappa2;gauss_curvature;mean_curvature;shape_index;curvedness;triangleAreas
311;-0.362332056201;-0.480383877584;0.174058478131;-0.421357966892;-0.91139573134;0.425472201673;0.115942303802
312;-0.387197805504;-0.479595849394;0.185698460415;-0.433396827449;-0.932393219727;0.435852222286;0.125539703884
313;-0.432659991817;-0.514111826227;0.222435618529;-0.473385909022;-0.945365416585;0.475134527469;0.126554274438
314;-0.382782275973;-0.486459043473;0.186207899828;-0.434620659723;-0.924425658263;0.437701194753;0.11634391207
315;-0.465804003699;-0.514318976913;0.239571838624;-0.490061490306;-0.968513743496;0.490661482019;0.128075816384
316;-0.342544838258;-0.457672303404;0.156773285145;-0.400108570831;-0.90903353506;0.404228217422;0.142852637694
317;-0.462632662517;-0.51223375086;0.236976063992;-0.487433206689;-0.967636768584;0.488063723272;0.122917306605
318;-0.335419765408;-0.477294357931;0.160093961568;-0.40635706167;-0.889974708026;0.412502317048;0.11244364059
319;-0.50487081528;-0.525453334402;0.265286053331;-0.515162074841;-0.987284102753;0.515264857503;0.116590776569
320;-0.386540654559;-0.502366484957;0.194185069924;-0.444453569758;-0.917512305366;0.44821075558;0.117788496472
321;-0.440673190158;-0.509062568031;0.224330225844;-0.474867879094;-0.95423673285;0.476097447323;0.125046675008
322;-0.372427919475;-0.470575993201;0.175255638103;-0.421501956338;-0.926212731198;0.424349101909;0.130857635879
323;-0.454111314512;-0.508394548001;0.230867716483;-0.481252931257;-0.964134026209;0.482017687645;0.117943066081
324;-0.312091521325;-0.470231939191;0.146755401278;-0.391161730258;-0.873023442154;0.399073423268;0.11452117253
325;-0.464667292938;-0.583186919553;0.270987887185;-0.523927106245;-0.9282985865;0.527267804945;0.12742267143
326;-0.41645887643;-0.498500009458;0.207604753839;-0.457479442944;-0.943068803888;0.459314845823;0.124536744672
327;-0.311419973896;-0.470877739798;0.146640733436;-0.391148856847;-0.871989764436;0.399191837328;0.165473937515
328;-0.36465002791;-0.47403463476;0.172856742796;-0.419342331335;-0.917435551109;0.422893886103;0.117144383201
329;-0.243220015856;-0.439514005257;0.106898603328;-0.341367010557;-0.821771553481;0.355196098606;0.131095321793
330;-0.263843435014;-0.442524202728;0.116757105724;-0.353183818871;-0.842271115982;0.364308267954;0.131173146399
331;-0.230210668649;-0.435388275911;0.100231026119;-0.33279947228;-0.809639516334;0.34825271195;0.124224854543
332;-0.299370400193;-0.441897730282;0.132291100359;-0.370634065238;-0.879069769589;0.377422999127;0.129817094559
